id	date	week	name	address	tel	night_tel	type	time_1st	time_2nd	date_week	time	lat	lon	navi
1	2023-08-16	水曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月16日 水曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
2	2023-08-17	木曜日	済生会今治病院	今治市喜田村７丁目１番６号	0898-47-2500	0898-47-2500	指定なし	08:30～17:30	17:30～翌日08:30	2023年8月17日 木曜日	08:30～17:30 / 17:30～翌日08:30	34.0442409	133.0203312	https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312
3	2023-08-18	金曜日	木原病院	今治市別宮町３－７－８	0898-23-0634		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月18日 金曜日	08:30～17:30 / 17:30～翌日08:30	34.0692414	132.9947473	https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473
4	2023-08-19	土曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月19日 土曜日	08:30～17:30 / 17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
5	2023-08-20	日曜日	瀬戸内海病院	今治市北宝来町２－４－９	0898-23-0655		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月20日 日曜日	08:30～17:30 / 17:30～翌日08:30	34.0658354	132.9940533	https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533
6	2023-08-20	日曜日	丹こどもクリニック	今治市末広町３丁目４の１２	0898-23-3200		小児科	09:00～17:00		2023年8月20日 日曜日	09:00～17:00	34.0616346	133.0052467	https://www.google.com/maps/dir/?api=1&destination=34.0616346,133.0052467
7	2023-08-20	日曜日	松浦医院	今治市上浦町井口５３００番地	0897-87-3350	0897-87-3350	島しょ部	09:00～17:00		2023年8月20日 日曜日	09:00～17:00	34.2679644	133.0408514	https://www.google.com/maps/dir/?api=1&destination=34.2679644,133.0408514
8	2023-08-21	月曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月21日 月曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
9	2023-08-22	火曜日	県立今治病院	今治市石井町４－５－５	0898-32-7111	0898-32-7111	指定なし	08:30～17:30	17:30～翌日08:30	2023年8月22日 火曜日	08:30～17:30 / 17:30～翌日08:30	34.0853711	132.9869297	https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297
10	2023-08-23	水曜日	木原病院	今治市別宮町３－７－８	0898-23-0634		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月23日 水曜日	08:30～17:30 / 17:30～翌日08:30	34.0692414	132.9947473	https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473
11	2023-08-24	木曜日	白石病院	今治市松本町１－５－９	0898-32-4135		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月24日 木曜日	08:30～17:30 / 17:30～翌日08:30	34.0656286	133.0006026	https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026
12	2023-08-25	金曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月25日 金曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
13	2023-08-26	土曜日	白石病院	今治市松本町１－５－９	0898-32-4135		指定なし	08:30～17:30		2023年8月26日 土曜日	08:30～17:30	34.0656286	133.0006026	https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026
14	2023-08-26	土曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	17:30～翌日08:30		2023年8月26日 土曜日	17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
15	2023-08-27	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月27日 日曜日	08:30～17:30 / 17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
16	2023-08-27	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		内科	09:00～17:30		2023年8月27日 日曜日	09:00～17:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
17	2023-08-27	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		小児科	09:00～17:00		2023年8月27日 日曜日	09:00～17:00	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
18	2023-08-27	日曜日	大三島中央病院	今治市大三島町宮浦５３１８－１	0897-82-1111	0897-82-1111	島しょ部	09:00～17:00		2023年8月27日 日曜日	09:00～17:00	34.2460837	132.9974115	https://www.google.com/maps/dir/?api=1&destination=34.2460837,132.9974115
19	2023-08-28	月曜日	瀬戸内海病院	今治市北宝来町２－４－９	0898-23-0655		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月28日 月曜日	08:30～17:30 / 17:30～翌日08:30	34.0658354	132.9940533	https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533
20	2023-08-29	火曜日	済生会今治病院	今治市喜田村７丁目１番６号	0898-47-2500	0898-47-2500	指定なし	08:30～17:30	17:30～翌日08:30	2023年8月29日 火曜日	08:30～17:30 / 17:30～翌日08:30	34.0442409	133.0203312	https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312
21	2023-08-30	水曜日	県立今治病院	今治市石井町４－５－５	0898-32-7111	0898-32-7111	指定なし	08:30～17:15	22:30～翌日08:30	2023年8月30日 水曜日	08:30～17:15 / 22:30～翌日08:30	34.0853711	132.9869297	https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297
22	2023-08-30	水曜日	今治セントラルクリニック	今治市松本町２丁目６番地６	0898-22-5251	0898-34-0088	指定なし	17:15～22:30		2023年8月30日 水曜日	17:15～22:30	34.0629614	133.0028127	https://www.google.com/maps/dir/?api=1&destination=34.0629614,133.0028127
23	2023-08-31	木曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年8月31日 木曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
